Date,drawdown_warning,drawdown_stop,daily_loss_warning,exposure_breach
2023-03-22,True,False,False,False
2023-03-23,True,False,False,False
2023-03-24,True,False,False,False
2023-03-27,True,False,False,False
2023-03-28,True,False,False,False
2023-03-29,True,False,False,False
2023-03-30,True,False,False,False
2023-04-06,True,False,False,False
2023-10-20,True,False,False,False
2023-10-25,True,False,False,False
2023-10-26,True,False,False,False
2023-10-27,True,False,False,False
2023-10-30,True,False,False,False
2023-10-31,True,False,False,False
2025-04-03,True,False,False,False
2025-04-04,True,False,True,False
2025-04-07,True,False,False,False
2025-04-08,True,False,False,False
2025-04-09,True,False,False,False
2025-04-10,True,False,False,False
